areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2020-10-26,1632,917575
overview,United Kingdom,K02000001,2020-10-25,10317,915943
overview,United Kingdom,K02000001,2020-10-24,13265,905626
overview,United Kingdom,K02000001,2020-10-23,20259,892361
overview,United Kingdom,K02000001,2020-10-22,22822,872102
overview,United Kingdom,K02000001,2020-10-21,25194,849280
overview,United Kingdom,K02000001,2020-10-20,25241,824086
overview,United Kingdom,K02000001,2020-10-19,25550,798845
overview,United Kingdom,K02000001,2020-10-18,14180,773295
overview,United Kingdom,K02000001,2020-10-17,14748,759115
overview,United Kingdom,K02000001,2020-10-16,17714,744367
overview,United Kingdom,K02000001,2020-10-15,18437,726653
overview,United Kingdom,K02000001,2020-10-14,19695,708216
overview,United Kingdom,K02000001,2020-10-13,18907,688521
overview,United Kingdom,K02000001,2020-10-12,19448,669614
overview,United Kingdom,K02000001,2020-10-11,12028,650166
overview,United Kingdom,K02000001,2020-10-10,12516,638138
overview,United Kingdom,K02000001,2020-10-09,15737,625622
overview,United Kingdom,K02000001,2020-10-08,18244,609885
overview,United Kingdom,K02000001,2020-10-07,18326,591641
overview,United Kingdom,K02000001,2020-10-06,17053,573315
overview,United Kingdom,K02000001,2020-10-05,16546,556262
overview,United Kingdom,K02000001,2020-10-04,11781,539716
overview,United Kingdom,K02000001,2020-10-03,11546,527935
overview,United Kingdom,K02000001,2020-10-02,13672,516389
overview,United Kingdom,K02000001,2020-10-01,13176,502717
overview,United Kingdom,K02000001,2020-09-30,12542,489541
overview,United Kingdom,K02000001,2020-09-29,10244,476999
overview,United Kingdom,K02000001,2020-09-28,9921,466755
overview,United Kingdom,K02000001,2020-09-27,6973,456834
overview,United Kingdom,K02000001,2020-09-26,6753,449861
overview,United Kingdom,K02000001,2020-09-25,7250,443108
overview,United Kingdom,K02000001,2020-09-24,7613,435858
overview,United Kingdom,K02000001,2020-09-23,7060,428245
overview,United Kingdom,K02000001,2020-09-22,6417,421185
overview,United Kingdom,K02000001,2020-09-21,5596,414768
overview,United Kingdom,K02000001,2020-09-20,5315,409172
overview,United Kingdom,K02000001,2020-09-19,4860,403857
overview,United Kingdom,K02000001,2020-09-18,4964,398997
overview,United Kingdom,K02000001,2020-09-17,4634,394033
overview,United Kingdom,K02000001,2020-09-16,4367,389399
overview,United Kingdom,K02000001,2020-09-15,3559,385032
overview,United Kingdom,K02000001,2020-09-14,3395,381473
overview,United Kingdom,K02000001,2020-09-13,2145,378078
