areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2020-10-26,16881,940545
overview,United Kingdom,K02000001,2020-10-25,14383,923664
overview,United Kingdom,K02000001,2020-10-24,15396,909281
overview,United Kingdom,K02000001,2020-10-23,21163,893885
overview,United Kingdom,K02000001,2020-10-22,23138,872722
overview,United Kingdom,K02000001,2020-10-21,25343,849584
overview,United Kingdom,K02000001,2020-10-20,25305,824241
overview,United Kingdom,K02000001,2020-10-19,25579,798936
overview,United Kingdom,K02000001,2020-10-18,14184,773357
overview,United Kingdom,K02000001,2020-10-17,14763,759173
overview,United Kingdom,K02000001,2020-10-16,17719,744410
overview,United Kingdom,K02000001,2020-10-15,18448,726691
overview,United Kingdom,K02000001,2020-10-14,19699,708243
overview,United Kingdom,K02000001,2020-10-13,18908,688544
overview,United Kingdom,K02000001,2020-10-12,19449,669636
overview,United Kingdom,K02000001,2020-10-11,12068,650187
overview,United Kingdom,K02000001,2020-10-10,12520,638119
overview,United Kingdom,K02000001,2020-10-09,15737,625599
overview,United Kingdom,K02000001,2020-10-08,18241,609862
overview,United Kingdom,K02000001,2020-10-07,18324,591621
overview,United Kingdom,K02000001,2020-10-06,17061,573297
overview,United Kingdom,K02000001,2020-10-05,16552,556236
overview,United Kingdom,K02000001,2020-10-04,11779,539684
overview,United Kingdom,K02000001,2020-10-03,11544,527905
overview,United Kingdom,K02000001,2020-10-02,13673,516361
overview,United Kingdom,K02000001,2020-10-01,13178,502688
overview,United Kingdom,K02000001,2020-09-30,12542,489510
overview,United Kingdom,K02000001,2020-09-29,10241,476968
overview,United Kingdom,K02000001,2020-09-28,9922,466727
overview,United Kingdom,K02000001,2020-09-27,6975,456805
overview,United Kingdom,K02000001,2020-09-26,6754,449830
overview,United Kingdom,K02000001,2020-09-25,7247,443076
overview,United Kingdom,K02000001,2020-09-24,7612,435829
overview,United Kingdom,K02000001,2020-09-23,7057,428217
overview,United Kingdom,K02000001,2020-09-22,6417,421160
overview,United Kingdom,K02000001,2020-09-21,5594,414743
overview,United Kingdom,K02000001,2020-09-20,5312,409149
overview,United Kingdom,K02000001,2020-09-19,4861,403837
overview,United Kingdom,K02000001,2020-09-18,4962,398976
overview,United Kingdom,K02000001,2020-09-17,4632,394014
overview,United Kingdom,K02000001,2020-09-16,4365,389382
overview,United Kingdom,K02000001,2020-09-15,3556,385017
overview,United Kingdom,K02000001,2020-09-14,3392,381461
overview,United Kingdom,K02000001,2020-09-13,2145,378069
overview,United Kingdom,K02000001,2020-09-12,2672,375924
overview,United Kingdom,K02000001,2020-09-11,3290,373252
overview,United Kingdom,K02000001,2020-09-10,3594,369962
overview,United Kingdom,K02000001,2020-09-09,3328,366368
overview,United Kingdom,K02000001,2020-09-08,3301,363040
overview,United Kingdom,K02000001,2020-09-07,3863,359739
overview,United Kingdom,K02000001,2020-09-06,2447,355876
overview,United Kingdom,K02000001,2020-09-05,2546,353429
overview,United Kingdom,K02000001,2020-09-04,3038,350883
overview,United Kingdom,K02000001,2020-09-03,3099,347845
overview,United Kingdom,K02000001,2020-09-02,2997,344746
overview,United Kingdom,K02000001,2020-09-01,2249,341749
overview,United Kingdom,K02000001,2020-08-31,1500,339500
overview,United Kingdom,K02000001,2020-08-30,1163,338000
overview,United Kingdom,K02000001,2020-08-29,1228,336837
overview,United Kingdom,K02000001,2020-08-28,1631,335609
overview,United Kingdom,K02000001,2020-08-27,1564,333978
overview,United Kingdom,K02000001,2020-08-26,1353,332414
overview,United Kingdom,K02000001,2020-08-25,1247,331061
overview,United Kingdom,K02000001,2020-08-24,1222,329814
overview,United Kingdom,K02000001,2020-08-23,823,328592
overview,United Kingdom,K02000001,2020-08-22,827,327769
overview,United Kingdom,K02000001,2020-08-21,1197,326942
overview,United Kingdom,K02000001,2020-08-20,1464,325745
overview,United Kingdom,K02000001,2020-08-19,1241,324281
overview,United Kingdom,K02000001,2020-08-18,1084,323040
overview,United Kingdom,K02000001,2020-08-17,1284,321956
overview,United Kingdom,K02000001,2020-08-16,599,320672
overview,United Kingdom,K02000001,2020-08-15,697,320073
overview,United Kingdom,K02000001,2020-08-14,1168,319376
overview,United Kingdom,K02000001,2020-08-13,1146,318208
overview,United Kingdom,K02000001,2020-08-12,1205,317062
overview,United Kingdom,K02000001,2020-08-11,1341,315857
overview,United Kingdom,K02000001,2020-08-10,1474,314516
overview,United Kingdom,K02000001,2020-08-09,617,313042
overview,United Kingdom,K02000001,2020-08-08,696,312425
overview,United Kingdom,K02000001,2020-08-07,943,311729
overview,United Kingdom,K02000001,2020-08-06,1083,310786
overview,United Kingdom,K02000001,2020-08-05,1059,309703
overview,United Kingdom,K02000001,2020-08-04,1020,308644
overview,United Kingdom,K02000001,2020-08-03,1041,307624
overview,United Kingdom,K02000001,2020-08-02,555,306583
overview,United Kingdom,K02000001,2020-08-01,542,306028
overview,United Kingdom,K02000001,2020-07-31,675,305486
overview,United Kingdom,K02000001,2020-07-30,923,304811
overview,United Kingdom,K02000001,2020-07-29,1040,303888
overview,United Kingdom,K02000001,2020-07-28,843,302848
overview,United Kingdom,K02000001,2020-07-27,856,302005
overview,United Kingdom,K02000001,2020-07-26,558,301149
overview,United Kingdom,K02000001,2020-07-25,523,300591
overview,United Kingdom,K02000001,2020-07-24,767,300068
overview,United Kingdom,K02000001,2020-07-23,799,299301
overview,United Kingdom,K02000001,2020-07-22,798,298502
overview,United Kingdom,K02000001,2020-07-21,783,297704
overview,United Kingdom,K02000001,2020-07-20,812,296921
overview,United Kingdom,K02000001,2020-07-19,443,296109
overview,United Kingdom,K02000001,2020-07-18,497,295666
overview,United Kingdom,K02000001,2020-07-17,580,295169
overview,United Kingdom,K02000001,2020-07-16,704,294589
overview,United Kingdom,K02000001,2020-07-15,772,293885
overview,United Kingdom,K02000001,2020-07-14,691,293113
overview,United Kingdom,K02000001,2020-07-13,732,292422
overview,United Kingdom,K02000001,2020-07-12,367,291690
overview,United Kingdom,K02000001,2020-07-11,449,291323
overview,United Kingdom,K02000001,2020-07-10,565,290874
overview,United Kingdom,K02000001,2020-07-09,716,290309
overview,United Kingdom,K02000001,2020-07-08,702,289593
overview,United Kingdom,K02000001,2020-07-07,602,288891
overview,United Kingdom,K02000001,2020-07-06,706,288289
overview,United Kingdom,K02000001,2020-07-05,555,287583
overview,United Kingdom,K02000001,2020-07-04,399,287028
overview,United Kingdom,K02000001,2020-07-03,569,286629
overview,United Kingdom,K02000001,2020-07-02,604,286060
overview,United Kingdom,K02000001,2020-07-01,645,285456
overview,United Kingdom,K02000001,2020-06-30,613,284811
overview,United Kingdom,K02000001,2020-06-29,726,284198
overview,United Kingdom,K02000001,2020-06-28,446,283472
overview,United Kingdom,K02000001,2020-06-27,651,283026
overview,United Kingdom,K02000001,2020-06-26,673,282375
overview,United Kingdom,K02000001,2020-06-25,721,281702
overview,United Kingdom,K02000001,2020-06-24,777,280981
overview,United Kingdom,K02000001,2020-06-23,886,280204
overview,United Kingdom,K02000001,2020-06-22,895,279318
overview,United Kingdom,K02000001,2020-06-21,640,278423
overview,United Kingdom,K02000001,2020-06-20,686,277783
overview,United Kingdom,K02000001,2020-06-19,988,277097
overview,United Kingdom,K02000001,2020-06-18,1027,276109
overview,United Kingdom,K02000001,2020-06-17,1014,275082
overview,United Kingdom,K02000001,2020-06-16,1101,274068
overview,United Kingdom,K02000001,2020-06-15,1044,272967
overview,United Kingdom,K02000001,2020-06-14,820,271923
overview,United Kingdom,K02000001,2020-06-13,888,271103
overview,United Kingdom,K02000001,2020-06-12,1049,270215
overview,United Kingdom,K02000001,2020-06-11,1012,269166
overview,United Kingdom,K02000001,2020-06-10,1193,268154
overview,United Kingdom,K02000001,2020-06-09,1159,266961
overview,United Kingdom,K02000001,2020-06-08,1094,265802
overview,United Kingdom,K02000001,2020-06-07,719,264708
overview,United Kingdom,K02000001,2020-06-06,804,263989
overview,United Kingdom,K02000001,2020-06-05,1122,263185
overview,United Kingdom,K02000001,2020-06-04,1249,262063
overview,United Kingdom,K02000001,2020-06-03,1362,260814
overview,United Kingdom,K02000001,2020-06-02,1491,259452
overview,United Kingdom,K02000001,2020-06-01,1438,257961
overview,United Kingdom,K02000001,2020-05-31,1081,256523
overview,United Kingdom,K02000001,2020-05-30,1123,255442
overview,United Kingdom,K02000001,2020-05-29,1525,254319
overview,United Kingdom,K02000001,2020-05-28,1756,252794
overview,United Kingdom,K02000001,2020-05-27,1829,251038
overview,United Kingdom,K02000001,2020-05-26,1665,249209
overview,United Kingdom,K02000001,2020-05-25,1622,247544
overview,United Kingdom,K02000001,2020-05-24,1365,245922
overview,United Kingdom,K02000001,2020-05-23,1526,244557
overview,United Kingdom,K02000001,2020-05-22,2058,243031
overview,United Kingdom,K02000001,2020-05-21,2574,240973
overview,United Kingdom,K02000001,2020-05-20,2716,238399
overview,United Kingdom,K02000001,2020-05-19,3054,235683
overview,United Kingdom,K02000001,2020-05-18,2587,232629
overview,United Kingdom,K02000001,2020-05-17,1837,230042
overview,United Kingdom,K02000001,2020-05-16,2080,228205
overview,United Kingdom,K02000001,2020-05-15,2528,226125
overview,United Kingdom,K02000001,2020-05-14,2630,223597
overview,United Kingdom,K02000001,2020-05-13,3307,220967
overview,United Kingdom,K02000001,2020-05-12,3401,217660
overview,United Kingdom,K02000001,2020-05-11,3592,214259
overview,United Kingdom,K02000001,2020-05-10,2325,210667
overview,United Kingdom,K02000001,2020-05-09,2158,208342
overview,United Kingdom,K02000001,2020-05-08,3058,206184
overview,United Kingdom,K02000001,2020-05-07,3764,203126
overview,United Kingdom,K02000001,2020-05-06,3828,199362
overview,United Kingdom,K02000001,2020-05-05,3680,195534
overview,United Kingdom,K02000001,2020-05-04,3382,191854
overview,United Kingdom,K02000001,2020-05-03,2979,188472
overview,United Kingdom,K02000001,2020-05-02,3233,185493
overview,United Kingdom,K02000001,2020-05-01,4735,182260
overview,United Kingdom,K02000001,2020-04-30,4964,177525
overview,United Kingdom,K02000001,2020-04-29,5437,172561
overview,United Kingdom,K02000001,2020-04-28,4730,167124
overview,United Kingdom,K02000001,2020-04-27,4706,162394
overview,United Kingdom,K02000001,2020-04-26,3473,157688
overview,United Kingdom,K02000001,2020-04-25,3748,154215
overview,United Kingdom,K02000001,2020-04-24,4965,150467
overview,United Kingdom,K02000001,2020-04-23,5150,145502
overview,United Kingdom,K02000001,2020-04-22,5487,140352
overview,United Kingdom,K02000001,2020-04-21,4762,134865
overview,United Kingdom,K02000001,2020-04-20,4856,130103
overview,United Kingdom,K02000001,2020-04-19,3851,125247
overview,United Kingdom,K02000001,2020-04-18,4715,121396
overview,United Kingdom,K02000001,2020-04-17,4956,116681
overview,United Kingdom,K02000001,2020-04-16,5295,111725
overview,United Kingdom,K02000001,2020-04-15,5054,106430
overview,United Kingdom,K02000001,2020-04-14,4315,101376
overview,United Kingdom,K02000001,2020-04-13,4182,97061
overview,United Kingdom,K02000001,2020-04-12,3486,92879
overview,United Kingdom,K02000001,2020-04-11,3581,89393
overview,United Kingdom,K02000001,2020-04-10,4315,85812
overview,United Kingdom,K02000001,2020-04-09,4855,81497
overview,United Kingdom,K02000001,2020-04-08,5131,76642
overview,United Kingdom,K02000001,2020-04-07,5443,71511
overview,United Kingdom,K02000001,2020-04-06,5289,66068
overview,United Kingdom,K02000001,2020-04-05,3594,60779
overview,United Kingdom,K02000001,2020-04-04,4014,57185
overview,United Kingdom,K02000001,2020-04-03,4917,53171
overview,United Kingdom,K02000001,2020-04-02,4866,48254
overview,United Kingdom,K02000001,2020-04-01,4916,43388
