areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2020-10-22,17553,865133
overview,United Kingdom,K02000001,2020-10-21,23707,847580
overview,United Kingdom,K02000001,2020-10-20,24944,823873
overview,United Kingdom,K02000001,2020-10-19,25522,798929
overview,United Kingdom,K02000001,2020-10-18,14188,773407
overview,United Kingdom,K02000001,2020-10-17,14749,759219
overview,United Kingdom,K02000001,2020-10-16,17710,744470
overview,United Kingdom,K02000001,2020-10-15,18455,726760
overview,United Kingdom,K02000001,2020-10-14,19712,708305
overview,United Kingdom,K02000001,2020-10-13,18925,688593
overview,United Kingdom,K02000001,2020-10-12,19452,669668
overview,United Kingdom,K02000001,2020-10-11,12037,650216
overview,United Kingdom,K02000001,2020-10-10,12521,638179
overview,United Kingdom,K02000001,2020-10-09,15739,625658
overview,United Kingdom,K02000001,2020-10-08,18244,609919
overview,United Kingdom,K02000001,2020-10-07,18324,591675
overview,United Kingdom,K02000001,2020-10-06,17056,573351
overview,United Kingdom,K02000001,2020-10-05,16546,556295
overview,United Kingdom,K02000001,2020-10-04,11783,539749
overview,United Kingdom,K02000001,2020-10-03,11547,527966
overview,United Kingdom,K02000001,2020-10-02,13675,516419
overview,United Kingdom,K02000001,2020-10-01,13180,502744
overview,United Kingdom,K02000001,2020-09-30,12541,489564
overview,United Kingdom,K02000001,2020-09-29,10247,477023
overview,United Kingdom,K02000001,2020-09-28,9920,466776
overview,United Kingdom,K02000001,2020-09-27,6974,456856
overview,United Kingdom,K02000001,2020-09-26,6753,449882
overview,United Kingdom,K02000001,2020-09-25,7251,443129
overview,United Kingdom,K02000001,2020-09-24,7612,435878
overview,United Kingdom,K02000001,2020-09-23,7062,428266
overview,United Kingdom,K02000001,2020-09-22,6416,421204
overview,United Kingdom,K02000001,2020-09-21,5595,414788
overview,United Kingdom,K02000001,2020-09-20,5317,409193
overview,United Kingdom,K02000001,2020-09-19,4860,403876
overview,United Kingdom,K02000001,2020-09-18,4964,399016
overview,United Kingdom,K02000001,2020-09-17,4633,394052
overview,United Kingdom,K02000001,2020-09-16,4370,389419
overview,United Kingdom,K02000001,2020-09-15,3559,385049
overview,United Kingdom,K02000001,2020-09-14,3395,381490
overview,United Kingdom,K02000001,2020-09-13,2145,378095
overview,United Kingdom,K02000001,2020-09-12,2672,375950
overview,United Kingdom,K02000001,2020-09-11,3290,373278
overview,United Kingdom,K02000001,2020-09-10,3596,369988
overview,United Kingdom,K02000001,2020-09-09,3330,366392
overview,United Kingdom,K02000001,2020-09-08,3303,363062
overview,United Kingdom,K02000001,2020-09-07,3863,359759
overview,United Kingdom,K02000001,2020-09-06,2447,355896
overview,United Kingdom,K02000001,2020-09-05,2546,353449
overview,United Kingdom,K02000001,2020-09-04,3037,350903
overview,United Kingdom,K02000001,2020-09-03,3100,347866
overview,United Kingdom,K02000001,2020-09-02,2995,344766
overview,United Kingdom,K02000001,2020-09-01,2250,341771
overview,United Kingdom,K02000001,2020-08-31,1500,339521
overview,United Kingdom,K02000001,2020-08-30,1164,338021
overview,United Kingdom,K02000001,2020-08-29,1229,336857
overview,United Kingdom,K02000001,2020-08-28,1631,335628
overview,United Kingdom,K02000001,2020-08-27,1562,333997
overview,United Kingdom,K02000001,2020-08-26,1353,332435
overview,United Kingdom,K02000001,2020-08-25,1246,331082
overview,United Kingdom,K02000001,2020-08-24,1222,329836
overview,United Kingdom,K02000001,2020-08-23,823,328614
