areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2020-10-25,1459,894690
overview,United Kingdom,K02000001,2020-10-24,7022,893231
overview,United Kingdom,K02000001,2020-10-23,16063,886209
overview,United Kingdom,K02000001,2020-10-22,21306,870146
overview,United Kingdom,K02000001,2020-10-21,24854,848840
overview,United Kingdom,K02000001,2020-10-20,25133,823986
overview,United Kingdom,K02000001,2020-10-19,25543,798853
overview,United Kingdom,K02000001,2020-10-18,14183,773310
overview,United Kingdom,K02000001,2020-10-17,14748,759127
overview,United Kingdom,K02000001,2020-10-16,17705,744379
overview,United Kingdom,K02000001,2020-10-15,18441,726674
overview,United Kingdom,K02000001,2020-10-14,19701,708233
overview,United Kingdom,K02000001,2020-10-13,18911,688532
overview,United Kingdom,K02000001,2020-10-12,19449,669621
overview,United Kingdom,K02000001,2020-10-11,12030,650172
overview,United Kingdom,K02000001,2020-10-10,12514,638142
overview,United Kingdom,K02000001,2020-10-09,15733,625628
overview,United Kingdom,K02000001,2020-10-08,18243,609895
overview,United Kingdom,K02000001,2020-10-07,18326,591652
overview,United Kingdom,K02000001,2020-10-06,17056,573326
overview,United Kingdom,K02000001,2020-10-05,16543,556270
overview,United Kingdom,K02000001,2020-10-04,11783,539727
overview,United Kingdom,K02000001,2020-10-03,11548,527944
overview,United Kingdom,K02000001,2020-10-02,13673,516396
overview,United Kingdom,K02000001,2020-10-01,13172,502723
overview,United Kingdom,K02000001,2020-09-30,12541,489551
overview,United Kingdom,K02000001,2020-09-29,10244,477010
overview,United Kingdom,K02000001,2020-09-28,9919,466766
overview,United Kingdom,K02000001,2020-09-27,6975,456847
overview,United Kingdom,K02000001,2020-09-26,6756,449872
overview,United Kingdom,K02000001,2020-09-25,7253,443116
overview,United Kingdom,K02000001,2020-09-24,7615,435863
overview,United Kingdom,K02000001,2020-09-23,7060,428248
overview,United Kingdom,K02000001,2020-09-22,6416,421188
overview,United Kingdom,K02000001,2020-09-21,5595,414772
overview,United Kingdom,K02000001,2020-09-20,5316,409177
overview,United Kingdom,K02000001,2020-09-19,4859,403861
overview,United Kingdom,K02000001,2020-09-18,4965,399002
overview,United Kingdom,K02000001,2020-09-17,4632,394037
overview,United Kingdom,K02000001,2020-09-16,4370,389405
overview,United Kingdom,K02000001,2020-09-15,3557,385035
overview,United Kingdom,K02000001,2020-09-14,3395,381478
overview,United Kingdom,K02000001,2020-09-13,2145,378083
overview,United Kingdom,K02000001,2020-09-12,2674,375938
overview,United Kingdom,K02000001,2020-09-11,3290,373264
overview,United Kingdom,K02000001,2020-09-10,3598,369974
overview,United Kingdom,K02000001,2020-09-09,3330,366376
overview,United Kingdom,K02000001,2020-09-08,3303,363046
overview,United Kingdom,K02000001,2020-09-07,3862,359743
overview,United Kingdom,K02000001,2020-09-06,2447,355881
overview,United Kingdom,K02000001,2020-09-05,2546,353434
overview,United Kingdom,K02000001,2020-09-04,3038,350888
overview,United Kingdom,K02000001,2020-09-03,3101,347850
overview,United Kingdom,K02000001,2020-09-02,2996,344749
overview,United Kingdom,K02000001,2020-09-01,2250,341753
overview,United Kingdom,K02000001,2020-08-31,1500,339503
overview,United Kingdom,K02000001,2020-08-30,1163,338003
overview,United Kingdom,K02000001,2020-08-29,1228,336840
overview,United Kingdom,K02000001,2020-08-28,1633,335612
overview,United Kingdom,K02000001,2020-08-27,1563,333979
overview,United Kingdom,K02000001,2020-08-26,1353,332416
overview,United Kingdom,K02000001,2020-08-25,1247,331063
overview,United Kingdom,K02000001,2020-08-24,1223,329816
overview,United Kingdom,K02000001,2020-08-23,822,328593
overview,United Kingdom,K02000001,2020-08-22,827,327771
