areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2020-10-22,9173,852573
overview,United Kingdom,K02000001,2020-10-21,20523,843400
overview,United Kingdom,K02000001,2020-10-20,24262,822877
overview,United Kingdom,K02000001,2020-10-19,25348,798615
overview,United Kingdom,K02000001,2020-10-18,14170,773267
overview,United Kingdom,K02000001,2020-10-17,14733,759097
overview,United Kingdom,K02000001,2020-10-16,17693,744364
overview,United Kingdom,K02000001,2020-10-15,18388,726671
overview,United Kingdom,K02000001,2020-10-14,19705,708283
overview,United Kingdom,K02000001,2020-10-13,18906,688578
overview,United Kingdom,K02000001,2020-10-12,19447,669672
overview,United Kingdom,K02000001,2020-10-11,12038,650225
overview,United Kingdom,K02000001,2020-10-10,12521,638187
overview,United Kingdom,K02000001,2020-10-09,15742,625666
overview,United Kingdom,K02000001,2020-10-08,18247,609924
overview,United Kingdom,K02000001,2020-10-07,18327,591677
overview,United Kingdom,K02000001,2020-10-06,17057,573350
overview,United Kingdom,K02000001,2020-10-05,16544,556293
overview,United Kingdom,K02000001,2020-10-04,11785,539749
overview,United Kingdom,K02000001,2020-10-03,11545,527964
overview,United Kingdom,K02000001,2020-10-02,13676,516419
overview,United Kingdom,K02000001,2020-10-01,13179,502743
overview,United Kingdom,K02000001,2020-09-30,12543,489564
overview,United Kingdom,K02000001,2020-09-29,10244,477021
overview,United Kingdom,K02000001,2020-09-28,9921,466777
overview,United Kingdom,K02000001,2020-09-27,6974,456856
overview,United Kingdom,K02000001,2020-09-26,6752,449882
overview,United Kingdom,K02000001,2020-09-25,7250,443130
overview,United Kingdom,K02000001,2020-09-24,7614,435880
overview,United Kingdom,K02000001,2020-09-23,7059,428266
overview,United Kingdom,K02000001,2020-09-22,6418,421207
overview,United Kingdom,K02000001,2020-09-21,5597,414789
overview,United Kingdom,K02000001,2020-09-20,5315,409192
overview,United Kingdom,K02000001,2020-09-19,4861,403877
overview,United Kingdom,K02000001,2020-09-18,4962,399016
overview,United Kingdom,K02000001,2020-09-17,4633,394054
overview,United Kingdom,K02000001,2020-09-16,4369,389421
overview,United Kingdom,K02000001,2020-09-15,3557,385052
overview,United Kingdom,K02000001,2020-09-14,3396,381495
overview,United Kingdom,K02000001,2020-09-13,2145,378099
overview,United Kingdom,K02000001,2020-09-12,2674,375954
overview,United Kingdom,K02000001,2020-09-11,3290,373280
overview,United Kingdom,K02000001,2020-09-10,3598,369990
overview,United Kingdom,K02000001,2020-09-09,3330,366392
overview,United Kingdom,K02000001,2020-09-08,3304,363062
overview,United Kingdom,K02000001,2020-09-07,3863,359758
overview,United Kingdom,K02000001,2020-09-06,2447,355895
overview,United Kingdom,K02000001,2020-09-05,2546,353448
overview,United Kingdom,K02000001,2020-09-04,3038,350902
overview,United Kingdom,K02000001,2020-09-03,3101,347864
overview,United Kingdom,K02000001,2020-09-02,2995,344763
overview,United Kingdom,K02000001,2020-09-01,2250,341768
overview,United Kingdom,K02000001,2020-08-31,1500,339518
overview,United Kingdom,K02000001,2020-08-30,1163,338018
overview,United Kingdom,K02000001,2020-08-29,1227,336855
overview,United Kingdom,K02000001,2020-08-28,1632,335628
overview,United Kingdom,K02000001,2020-08-27,1563,333996
overview,United Kingdom,K02000001,2020-08-26,1354,332433
overview,United Kingdom,K02000001,2020-08-25,1246,331079
overview,United Kingdom,K02000001,2020-08-24,1222,329833
overview,United Kingdom,K02000001,2020-08-23,824,328611
overview,United Kingdom,K02000001,2020-08-22,827,327787
overview,United Kingdom,K02000001,2020-08-21,1198,326960
overview,United Kingdom,K02000001,2020-08-20,1465,325762
overview,United Kingdom,K02000001,2020-08-19,1241,324297
overview,United Kingdom,K02000001,2020-08-18,1084,323056
overview,United Kingdom,K02000001,2020-08-17,1284,321972
overview,United Kingdom,K02000001,2020-08-16,598,320688
overview,United Kingdom,K02000001,2020-08-15,697,320090
overview,United Kingdom,K02000001,2020-08-14,1167,319393
overview,United Kingdom,K02000001,2020-08-13,1145,318226
overview,United Kingdom,K02000001,2020-08-12,1206,317081
overview,United Kingdom,K02000001,2020-08-11,1340,315875
overview,United Kingdom,K02000001,2020-08-10,1473,314535
overview,United Kingdom,K02000001,2020-08-09,616,313062
overview,United Kingdom,K02000001,2020-08-08,696,312446
overview,United Kingdom,K02000001,2020-08-07,943,311750
overview,United Kingdom,K02000001,2020-08-06,1083,310807
overview,United Kingdom,K02000001,2020-08-05,1060,309724
overview,United Kingdom,K02000001,2020-08-04,1021,308664
overview,United Kingdom,K02000001,2020-08-03,1042,307643
overview,United Kingdom,K02000001,2020-08-02,554,306601
overview,United Kingdom,K02000001,2020-08-01,542,306047
overview,United Kingdom,K02000001,2020-07-31,675,305505
overview,United Kingdom,K02000001,2020-07-30,923,304830
overview,United Kingdom,K02000001,2020-07-29,1039,303907
overview,United Kingdom,K02000001,2020-07-28,844,302868
overview,United Kingdom,K02000001,2020-07-27,858,302024
overview,United Kingdom,K02000001,2020-07-26,558,301166
overview,United Kingdom,K02000001,2020-07-25,523,300608
overview,United Kingdom,K02000001,2020-07-24,768,300085
overview,United Kingdom,K02000001,2020-07-23,799,299317
overview,United Kingdom,K02000001,2020-07-22,799,298518
overview,United Kingdom,K02000001,2020-07-21,783,297719
overview,United Kingdom,K02000001,2020-07-20,812,296936
overview,United Kingdom,K02000001,2020-07-19,444,296124
overview,United Kingdom,K02000001,2020-07-18,497,295680
overview,United Kingdom,K02000001,2020-07-17,580,295183
overview,United Kingdom,K02000001,2020-07-16,705,294603
overview,United Kingdom,K02000001,2020-07-15,772,293898
overview,United Kingdom,K02000001,2020-07-14,691,293126
overview,United Kingdom,K02000001,2020-07-13,732,292435
overview,United Kingdom,K02000001,2020-07-12,367,291703
overview,United Kingdom,K02000001,2020-07-11,449,291336
overview,United Kingdom,K02000001,2020-07-10,566,290887
overview,United Kingdom,K02000001,2020-07-09,716,290321
overview,United Kingdom,K02000001,2020-07-08,703,289605
overview,United Kingdom,K02000001,2020-07-07,602,288902
overview,United Kingdom,K02000001,2020-07-06,706,288300
overview,United Kingdom,K02000001,2020-07-05,556,287594
overview,United Kingdom,K02000001,2020-07-04,398,287038
overview,United Kingdom,K02000001,2020-07-03,568,286640
overview,United Kingdom,K02000001,2020-07-02,604,286072
overview,United Kingdom,K02000001,2020-07-01,645,285468
overview,United Kingdom,K02000001,2020-06-30,615,284823
overview,United Kingdom,K02000001,2020-06-29,726,284208
overview,United Kingdom,K02000001,2020-06-28,447,283482
overview,United Kingdom,K02000001,2020-06-27,651,283035
overview,United Kingdom,K02000001,2020-06-26,673,282384
overview,United Kingdom,K02000001,2020-06-25,721,281711
overview,United Kingdom,K02000001,2020-06-24,777,280990
overview,United Kingdom,K02000001,2020-06-23,885,280213
overview,United Kingdom,K02000001,2020-06-22,895,279328
overview,United Kingdom,K02000001,2020-06-21,639,278433
overview,United Kingdom,K02000001,2020-06-20,686,277794
overview,United Kingdom,K02000001,2020-06-19,985,277108
overview,United Kingdom,K02000001,2020-06-18,1027,276123
overview,United Kingdom,K02000001,2020-06-17,1014,275096
overview,United Kingdom,K02000001,2020-06-16,1101,274082
overview,United Kingdom,K02000001,2020-06-15,1044,272981
overview,United Kingdom,K02000001,2020-06-14,820,271937
overview,United Kingdom,K02000001,2020-06-13,888,271117
overview,United Kingdom,K02000001,2020-06-12,1049,270229
overview,United Kingdom,K02000001,2020-06-11,1013,269180
overview,United Kingdom,K02000001,2020-06-10,1196,268167
overview,United Kingdom,K02000001,2020-06-09,1158,266971
overview,United Kingdom,K02000001,2020-06-08,1094,265813
overview,United Kingdom,K02000001,2020-06-07,719,264719
overview,United Kingdom,K02000001,2020-06-06,804,264000
overview,United Kingdom,K02000001,2020-06-05,1123,263196
overview,United Kingdom,K02000001,2020-06-04,1249,262073
overview,United Kingdom,K02000001,2020-06-03,1363,260824
overview,United Kingdom,K02000001,2020-06-02,1492,259461
overview,United Kingdom,K02000001,2020-06-01,1438,257969
overview,United Kingdom,K02000001,2020-05-31,1080,256531
overview,United Kingdom,K02000001,2020-05-30,1124,255451
overview,United Kingdom,K02000001,2020-05-29,1524,254327
overview,United Kingdom,K02000001,2020-05-28,1754,252803
overview,United Kingdom,K02000001,2020-05-27,1830,251049
overview,United Kingdom,K02000001,2020-05-26,1666,249219
overview,United Kingdom,K02000001,2020-05-25,1622,247553
overview,United Kingdom,K02000001,2020-05-24,1365,245931
overview,United Kingdom,K02000001,2020-05-23,1528,244566
overview,United Kingdom,K02000001,2020-05-22,2059,243038
overview,United Kingdom,K02000001,2020-05-21,2574,240979
